permissions,mb_type,unit_id,addr,bit,name,type,default_value,related
R,HR,36,67,"(high byte, low byte)",P1_SR_appCRC,Analog,,
R,HR,36,68,0,P1_Tsw0,Digital,1,
R,HR,36,68,1,P1_Tsw1,Digital,1,
R,HR,36,68,2,P1_Tsw2,Digital,1,
R,HR,36,68,3,P1_Tsw3,Digital,1,
R,HR,36,68,4,P1_TempOk,Digital,1,
R,HR,36,68,5,P1_TempHighFilter,Digital,0,
R,HR,36,68,6,P1_TempOkLatch,Digital,1,
R,HR,36,68,7,P1_TempOkLatchStatus,DigitalBlink,0,
R,HR,36,68,8,P1_ResetTemp,Digital,0,
R,HR,36,68,9,P1_TempOkLatchNeedsReset,Digital,0,
R,HR,36,69,"(high byte, low byte)",P1_SR_ErrorCode,Analog,,
R,HR,36,70,0,P1_NoLeak,Digital,1,
R,HR,36,70,1,P1_Leak,Digital,0,
R,HR,36,70,2,P1_NotLeakFault,Digital,1,
R,HR,36,70,3,P1_LeakPower,Digital,1,
R,HR,36,70,4,P1_LeakFaultFilter,Digital,0,
R,HR,36,70,5,P1_LeakFaultOkLatch,Digital,1,
R,HR,36,70,6,P1_LeakFaultOkLatchStatus,DigitalBlink,0,
R,HR,36,70,7,P1_LeakFilter,Digital,0,
R,HR,36,70,8,P1_LeakOkLatch,Digital,1,
R,HR,36,70,9,P1_LeakOkLatchStatus,DigitalBlink,0,
R,HR,36,70,10,P1_ResetLeak,Digital,0,
R,HR,36,70,11,P1_LeakLight,DigitalBlink,0,
R,HR,36,70,13,P1_LeakFaultOkLatchNeedsReset,Digital,0,
R,HR,36,70,14,P1_LeakOkLatchNeedsReset,Digital,0,
R,HR,36,72,0,,,,
R,HR,36,72,1,,,,
R,HR,36,72,2,,,,
R,HR,36,72,3,,,,
R,HR,36,72,4,,,,
R,HR,36,72,5,,,,
R,HR,36,72,6,,,,
R,HR,36,72,7,,,,
R,HR,36,72,8,,,,
R,HR,36,72,9,,,,
R,HR,36,72,10,,,,
R,HR,36,72,11,P1_APower,Digital,1,
R,HR,36,72,12,P1_BPower,Digital,1,
R,HR,36,72,13,P1_CPower,Digital,1,
R,HR,36,72,14,P1_SmokeFaultOkLatchNeedsReset,Digital,0,
R,HR,36,72,15,P1_SmokeOkLatchNeedsReset,DigitalBlink,0,
R,HR,36,74,0,P1_UtPowerPerm,Digital,1,
R,HR,36,74,1,P1_UtPowerPermBlock,Digital,0,
R,HR,36,74,2,P1_UtPowerPermBlockSet,Digital,0,
R,HR,36,74,3,P1_UtPowerPermBlockReset,Digital,0,
R,HR,36,74,4,P1_UtPowerLight,Digital,1,
R,HR,36,74,5,P1_RebPowerPerm,Digital,1,
R,HR,36,74,6,P1_RebPowerPermBlock,Digital,0,
R,HR,36,74,7,P1_RebPowerPermBlockSet,Digital,0,
R,HR,36,74,8,P1_RebPowerPermBlockReset,Digital,0,
R,HR,36,74,9,P1_RebPowerLight,Digital,1,
R,HR,36,74,10,P1_CoolantValve,Digital,1,
R,HR,36,74,11,P1_CoolantValveBlock,Digital,0,
R,HR,36,74,12,P1_CoolantValveBlockSet,Digital,0,
R,HR,36,74,13,P1_CoolantValveBlockReset,Digital,0,
R,HR,36,87,,,,,
R,HR,36,88,,,,,
R,HR,36,89,,,,,
R,HR,36,90,,,,,
R,HR,36,91,,,,,
R,HR,36,92,,,,,
R,HR,36,93,,,,,
R,HR,36,94,,,,,
R,HR,36,95,,,,,
R,HR,36,96,,,,,
R,HR,36,97,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,98,,,,,
R,HR,36,99,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,100,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,102,,,,,
R,HR,36,107,,,,,
R,HR,36,108,,,,,
R,HR,36,109,,,,,
R,HR,36,110,,,,,
R,HR,36,111,,,,,
R,HR,36,112,,,,,
R,HR,36,113,,,,,
R,HR,36,114,,,,,
R,HR,36,115,,,,,
R,HR,36,116,,,,,
R,HR,36,117,"(high byte, low byte)",P3_SR_appCRC,Analog,,
R,HR,36,118,0,P3_MasterResetButton,Digital,0,
R,HR,36,118,1,P3_MpmActiveLight,Digital,1,
R,HR,36,118,2,,,,
R,HR,36,118,3,,,,
R,HR,36,118,5,,,,
R,HR,36,118,6,,,,
R,HR,36,118,7,,,,
R,HR,36,118,8,,,,
R,HR,36,118,10,,,,
R,HR,36,118,11,,,,
R,HR,36,118,12,,,,
R,HR,36,118,13,,,,
R,HR,36,119,"(high byte, low byte)",P3_SR_ErrorCode,Analog,,
R,HR,36,120,0,,,,
R,HR,36,120,1,,,,
R,HR,36,120,2,,,,
R,HR,36,120,3,,,,
R,HR,36,120,4,,,,
R,HR,36,120,5,,,,
R,HR,36,120,6,,,,
R,HR,36,120,7,,,,
R,HR,36,120,8,,,,
R,HR,36,120,9,,,,
R,HR,36,120,10,,,,
R,HR,36,120,11,,,,
R,HR,36,122,0,P3_ClpRefPermBlock,Digital,0,
R,HR,36,122,1,P3_ClpRefPermBlockSet,Digital,0,
R,HR,36,122,2,P3_ClpRefPermBlockReset,Digital,0,
R,HR,36,122,3,P3_ClpRefPerm,Digital,1,
R,HR,36,122,4,P3_ClpFrigLockLight,Digital,0,
R,HR,36,122,5,,,,
R,HR,36,122,6,P3_CryRefPermBlock,Digital,0,
R,HR,36,122,7,P3_CryRefPermBlockSet,Digital,0,
R,HR,36,122,8,P3_CryRefPermBlockReset,Digital,0,
R,HR,36,122,9,P3_CryRefPerm,Digital,1,
R,HR,36,122,10,P3_CryFrigLockLight,Digital,0,
R,HR,36,122,11,P3_CryColdLight,DigitalBlink,0,
R,HR,36,122,13,SM_Pluto1_Present,Digital,1,
R,HR,36,122,14,SM_Pluto2_Present,Digital,1,
R,HR,36,122,15,SM_Pluto3_Present,Digital,1,
R,HR,36,124,0,P3_HexVacOk,Digital,1,
R,HR,36,124,1,P3_HexVacOkLatch,Digital,1,
R,HR,36,124,2,P3_HexVacOkLatchStatus,DigitalBlink,0,
R,HR,36,124,3,P3_HexVacOkLatchNeedsReset,Digital,0,
R,HR,36,124,4,P3_ResetHexVac,Digital,0,
R,HR,36,124,5,P3_HexVacBadLight,DigitalBlink,0,
R,HR,36,124,7,P3_CryVacOk,Digital,1,
R,HR,36,124,8,P3_CryVacOkLatch,Digital,1,
R,HR,36,124,9,P3_CryVacOkLatchStatus,DigitalBlink,0,
R,HR,36,124,10,P3_CryVacOkLatchNeedsReset,Digital,0,
R,HR,36,124,11,P3_ResetCryVac,Digital,0,
R,HR,36,124,12,P3_CryVacBadLight,DigitalBlink,0,
R,HR,36,124,13,P3_APower,Digital,1,
R,HR,36,124,14,P3_BPower,Digital,1,
R,HR,36,124,15,P3_CPower,Digital,2,
,HR,,,,,Digital,,
RW,HR,1,2,0,,,,
RW,HR,1,2,1,P1_ResetLeak_w,Digital,P,
RW,HR,1,2,2,P1_ResetTemp_w,Digital,P,
RW,HR,1,2,3,P1_RebPowerPermBlockSet_w,Digital,0,
RW,HR,1,2,4,P1_RebPowerPermBlockReset_w,Digital,P,
RW,HR,1,2,5,P1_UtPowerPermBlockSet_w,Digital,0,
RW,HR,1,2,6,P1_UtPowerPermBlockReset_w,Digital,P,
RW,HR,1,2,7,P1_CoolantValveBlockSet_w,Digital,0,
RW,HR,1,2,8,P1_CoolantValveBlockReset_w,Digital,P,
RW,HR,1,5,0,,,,
RW,HR,1,5,1,,,,
RW,HR,1,5,2,,,,
RW,HR,1,5,3,,,,
RW,HR,1,5,4,P2_ClpRefPermBlockSet_w,Digital,0,
RW,HR,1,5,5,P2_ClpRefPermBlockReset_w,Digital,P,
RW,HR,1,8,0,P3_ResetCryHigh_w,Digital,P,
RW,HR,1,8,1,P3_ResetCryLow_w,Digital,P,
RW,HR,1,8,2,P3_CryHeatPermBlockSet_w,Digital,0,
RW,HR,1,8,3,P3_CryHeatPermBlockReset_w,Digital,P,
RW,HR,1,8,4,P3_CryRefPermBlockSet_w,Digital,0,
RW,HR,1,8,5,P3_CryRefPermBlockReset_w,Digital,P,
RW,HR,1,8,6,P3_ResetHexVac_w,Digital,P,
RW,HR,1,8,7,P3_ResetCryVac_w,Digital,P,
