permissions,mb_type,unit_id,addr,bit,name,type,default_value,related
R,HR,36,68,0,P1_Tsw0,Digital,1,
R,HR,36,68,1,P1_Tsw1,Digital,1,
R,HR,36,68,2,P1_Tsw2,Digital,1,
R,HR,36,68,3,P1_Tsw3,Digital,1,
R,HR,36,68,4,P1_TempOk,Digital,1,
R,HR,36,68,5,P1_TempHighFilter,Digital,0,
R,HR,36,68,6,P1_TempOkLatch,Digital,1,
R,HR,36,68,7,P1_TempOkLatchStatus,DigitalBlink,0,
R,HR,36,68,8,P1_ResetTemp,Digital,0,
R,HR,36,68,9,P1_TempOkLatchNeedsReset,Digital,0,
R,HR,36,70,0,P1_NoLeak,Digital,1,
R,HR,36,70,1,P1_Leak,Digital,0,
R,HR,36,70,2,P1_NotLeakFault,Digital,1,
R,HR,36,70,3,P1_LeakPower,Digital,1,
R,HR,36,70,4,P1_LeakFaultFilter,Digital,0,
R,HR,36,70,5,P1_LeakFaultOkLatch,Digital,1,
R,HR,36,70,6,P1_LeakFaultOkLatchStatus,DigitalBlink,0,
R,HR,36,70,7,P1_LeakFilter,Digital,0,
R,HR,36,70,8,P1_LeakOkLatch,Digital,1,
R,HR,36,70,9,P1_LeakOkLatchStatus,DigitalBlink,0,
R,HR,36,70,10,P1_ResetLeak,Digital,0,
R,HR,36,70,11,P1_LeakLight,DigitalBlink,0,
R,HR,36,70,13,P1_LeakFaultOkLatchNeedsReset,Digital,0,
R,HR,36,70,14,P1_LeakOkLatchNeedsReset,Digital,0,
R,HR,36,72,0,P1_NoSmoke,Digital,1,
R,HR,36,72,1,P2_NoSmokeFault,Digital,1,
R,HR,36,72,2,P2_NoSmokeWarning,Digital,1,
R,HR,36,72,3,P1_SmokeFaultFilter,Digital,0,
R,HR,36,72,4,P1_SmokeFaultOkLatch,Digital,1,
R,HR,36,72,5,P1_SmokeFaultOkLatchStatus,DigitalBlink,0,
R,HR,36,72,6,P1_SmokeFilter,Digital,0,
R,HR,36,72,7,P1_SmokeOkLatch,Digital,1,
R,HR,36,72,8,P1_SmokeOkLatchStatus,DigitalBlink,0,
R,HR,36,72,9,P1_ResetSmoke,Digital,0,
R,HR,36,72,10,P1_SmokeLight,DigitalBlink,0,
R,HR,36,72,11,P1_APower,Digital,1,
R,HR,36,72,12,P1_BPower,Digital,1,
R,HR,36,72,13,P1_CPower,Digital,1,
R,HR,36,72,14,P1_SmokeFaultOkLatchNeedsReset,Digital,0,
R,HR,36,72,15,P1_SmokeOkLatchStatusNeedsReset,DigitalBlink,0,
R,HR,36,74,0,P1_UtPowerPerm,Digital,1,
R,HR,36,74,1,P1_UtPowerPermBlock,Digital,0,
R,HR,36,74,2,P1_UtPowerPermBlockSet,Digital,0,
R,HR,36,74,3,P1_UtPowerPermBlockReset,Digital,0,
R,HR,36,74,4,P1_UtPowerLight,Digital,1,
R,HR,36,74,5,P1_RebPowerPerm,Digital,1,
R,HR,36,74,6,P1_RebPowerPermBlock,Digital,0,
R,HR,36,74,7,P1_RebPowerPermBlockSet,Digital,0,
R,HR,36,74,8,P1_RebPowerPermBlockReset,Digital,0,
R,HR,36,74,9,P1_RebPowerLight,Digital,1,
R,HR,36,74,10,P1_CoolantValve,Digital,1,
R,HR,36,74,11,P1_CoolantValveBlock,Digital,0,
R,HR,36,74,12,P1_CoolantValveBlockSet,Digital,0,
R,HR,36,74,13,P1_CoolantValveBlockReset,Digital,0,
R,HR,36,87,"(high byte, low byte)",P2_ClpRtd0Current,Analog,,P2_IA0
R,HR,36,88,"(high byte, low byte)",P2_ClpRtd0Temp,Analog,,P2_IA0
